[2025-02-28 14:25:47] TSLQ: Atualizado: 45.113 (pre: None, pos: None, target: None)
[2025-02-28 14:25:47] TSLZ: Atualizado: 4.1591 (pre: None, pos: None, target: None)
[2025-02-28 14:25:48] XPEV: Atualizado: 21.18 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:26:03] Portfolio carregado com 23 entradas.
[2025-02-28 14:26:04] BABA: Atualizado: 132.58 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:26:05] BABX: Atualizado: 36.815 (pre: None, pos: None, target: None)
[2025-02-28 14:26:05] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:26:06] DOCN: Atualizado: 42.43 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:26:06] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:26:07] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:26:07] KOLD: Atualizado: 23.43 (pre: None, pos: None, target: None)
[2025-02-28 14:26:08] LABD: Atualizado: 7.71 (pre: None, pos: None, target: None)
[2025-02-28 14:26:09] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:26:09] MU: Atualizado: 94.05 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:26:10] NTLA: Atualizado: 10.24 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:26:10] PRCH: Atualizado: 6.96 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:26:11] SBIT: Atualizado: 13.52 (pre: None, pos: None, target: None)
[2025-02-28 14:26:12] TSLQ: Atualizado: 45.085 (pre: None, pos: None, target: None)
[2025-02-28 14:26:12] TSLZ: Atualizado: 4.1488 (pre: None, pos: None, target: None)
[2025-02-28 14:26:13] XPEV: Atualizado: 21.1805 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:26:32] Portfolio carregado com 23 entradas.
[2025-02-28 14:26:32] BABA: Atualizado: 132.485 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:26:33] BABX: Atualizado: 36.815 (pre: None, pos: None, target: None)
[2025-02-28 14:26:34] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:26:34] DOCN: Atualizado: 42.43 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:26:35] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:26:36] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:26:36] KOLD: Atualizado: 23.47 (pre: None, pos: None, target: None)
[2025-02-28 14:26:37] LABD: Atualizado: 7.71 (pre: None, pos: None, target: None)
[2025-02-28 14:26:37] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:26:38] MU: Atualizado: 94.09 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:26:38] NTLA: Atualizado: 10.2301 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:26:39] PRCH: Atualizado: 6.95 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:26:39] SBIT: Atualizado: 13.48 (pre: None, pos: None, target: None)
[2025-02-28 14:26:40] TSLQ: Atualizado: 45.16 (pre: None, pos: None, target: None)
[2025-02-28 14:26:40] TSLZ: Atualizado: 4.1579 (pre: None, pos: None, target: None)
[2025-02-28 14:26:41] XPEV: Atualizado: 21.175 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:28:39] Portfolio carregado com 23 entradas.
[2025-02-28 14:28:39] BABA: Atualizado: 132.635 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:28:40] BABX: Atualizado: 36.815 (pre: None, pos: None, target: None)
[2025-02-28 14:28:40] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:28:41] DOCN: Atualizado: 42.57 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:28:41] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:28:42] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:28:42] KOLD: Atualizado: 23.36 (pre: None, pos: None, target: None)
[2025-02-28 14:28:43] LABD: Atualizado: 7.68 (pre: None, pos: None, target: None)
[2025-02-28 14:28:43] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:28:44] MU: Atualizado: 94.1196 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:28:44] NTLA: Atualizado: 10.2401 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:28:45] PRCH: Atualizado: 6.96 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:28:45] SBIT: Atualizado: 13.44 (pre: None, pos: None, target: None)
[2025-02-28 14:28:46] TSLQ: Atualizado: 44.9062 (pre: None, pos: None, target: None)
[2025-02-28 14:28:46] TSLZ: Atualizado: 4.1301 (pre: None, pos: None, target: None)
[2025-02-28 14:28:47] XPEV: Atualizado: 21.2025 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:29:03] Portfolio carregado com 23 entradas.
[2025-02-28 14:29:04] BABA: Atualizado: 132.6 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:29:04] BABX: Atualizado: 36.8001 (pre: None, pos: None, target: None)
[2025-02-28 14:29:05] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:29:05] DOCN: Atualizado: 42.57 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:29:06] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:29:07] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:29:07] KOLD: Atualizado: 23.2901 (pre: None, pos: None, target: None)
[2025-02-28 14:29:08] LABD: Atualizado: 7.6899 (pre: None, pos: None, target: None)
[2025-02-28 14:29:08] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:29:09] MU: Atualizado: 94.06 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:29:10] NTLA: Atualizado: 10.24 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:29:10] PRCH: Atualizado: 6.96 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:29:11] SBIT: Atualizado: 13.44 (pre: None, pos: None, target: None)
[2025-02-28 14:29:11] TSLQ: Atualizado: 44.92 (pre: None, pos: None, target: None)
[2025-02-28 14:29:12] TSLZ: Atualizado: 4.1388 (pre: None, pos: None, target: None)
[2025-02-28 14:29:12] XPEV: Atualizado: 21.2034 (pre: None, pos: None, target: 15.672488)
